cpu_uses,memory_uses,Wi_fi_uses,disc_uses,Type
0.0,0.0,0.0,0.0,1.0
0.0,0.000863836,0.0,0.0,0.0
0.0,0.008616957,0.0,0.0,0.0
0.96407264,2.1434603e-08,0.0,0.0,0.0
0.0,0.0010285502,0.0,0.0,0.0
0.0,0.07534016,0.0,0.0,0.0
0.0,0.0007999501,0.0,0.0,1.0
0.053256318,0.00075989956,0.0,0.0,0.0
0.0,0.000414781,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0018542326,0.0,0.0,0.0
0.0020312301,2.5560765e-05,0.0,0.0,0.0
0.0,0.0009933225,0.0,0.0,0.0
0.0,0.00011364627,0.0,0.0,0.0
0.0,0.00011364627,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0010255171,0.0,0.0,0.0
0.0,0.07214907,0.0,0.0,0.0
0.0,2.5560765e-05,0.0,0.0,0.0
0.04798781,0.00058917294,0.0,0.0,0.0
0.0,0.0010063547,0.0,0.0,0.0
0.97175324,2.1434603e-08,0.0,0.0,0.0
0.0,0.0018539967,0.0,0.0,0.0
0.0,0.00039938025,0.0,0.0,0.0
0.0,0.00081167486,0.0,0.0,1.0
0.0,0.00862402,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0008874998,0.0,0.0,0.0
0.0,0.00040094496,0.0,0.0,0.0
0.05535102,0.0005891086,0.0,0.0,0.0
0.0,0.0018506423,0.0,0.0,0.0
0.9469976,2.1434603e-08,0.0,0.0,0.0
0.0,0.001006076,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0008645005,0.0,0.0,0.0
0.0,2.5560765e-05,0.0,0.0,0.0
0.0020312301,0.00011364627,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0019677542,0.0010290645,0.0,0.0,0.0
0.0,0.009270295,0.0,0.0,1.0
0.0,0.07201653,0.0,0.0,0.0
0.0,0.00088464894,0.0,0.0,0.0
0.0,2.5560765e-05,0.0,0.0,0.0
0.0,0.0010058938,0.0,0.0,0.0
0.0,0.0003953291,0.0,0.0,0.0
0.9646439,2.1434603e-08,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0
0.05135204,0.0005891301,0.0,0.0,0.0
0.0,0.072657876,0.0,0.0,1.0
0.0,0.001029011,0.0,0.0,0.0
0.0,0.0008101101,0.0,0.0,0.0
0.0,0.00881482,0.0,0.0,0.0
0.0,0.000113656984,0.0,0.0,0.0
0.0,0.0018501922,0.0,0.0,0.0
0.0,0.0010058938,0.0,0.0,0.0
0.0,0.0018502885,0.0,0.0,0.0
0.95835984,2.1434603e-08,0.0,0.0,0.0
0.0,0.0,0.0010261477,0.0,0.0
0.0,0.0,0.008766217,0.0,0.0
0.0,0.0,0.00039506107,0.0,0.0
0.0,0.00088047987,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0031737972,0.0008183196,0.0,0.0,1.0
0.053573698,0.0005890979,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0.0,2.5560765e-05,0.0,0.0,0.0
0.0,0.00011361412,0.0,0.0,0.0
0.0013329948,2.5560765e-05,0.0,0.0,0.0
0.04659134,0.00058924797,0.0,0.0,0.0
0.95874065,2.1434603e-08,0.0,0.0,0.0
0.0,0.0008509216,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0.0,0.00011347479,0.0,0.0,0.0
0.0,0.0010058938,0.0,0.0,0.0
0.0,0.00074609567,0.0,0.0,0.0
0.0,0.008585073,0.0,0.0,0.0
0.0,0.00041067626,0.0,0.0,0.0
0.0010156151,0.00097430986,0.0,0.0,0.0
0.0,0.0018504171,0.0,0.0,0.0
0.0,0.0007438987,0.0,0.0,0.0
0.0,0.0010056902,0.0,0.0,0.0
0.0,0.0085813645,0.0,0.0,0.0
0.0,0.0008527007,0.0,0.0,0.0
0.0,0.000113389055,0.0,0.0,0.0
0.0,0.00041082635,0.0,0.0,0.0
0.0013329948,0.0009740741,0.0,0.0,0.0
0.010092675,0.09559272,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0018495276,0.0,0.0,0.0
0.050780755,0.000589323,0.0,0.0,0.0
0.96800816,2.1434603e-08,0.0,0.0,0.0
0.0,2.5560765e-05,0.0,0.0,0.0
0.0,0.0010056902,0.0,0.0,0.0
0.0,0.008522259,0.0,0.0,0.0
0.0015234227,0.000113389055,0.0,0.0,0.0
0.0,0.0018494419,0.0,0.0,0.0
0.0017138505,0.00097456714,0.0,0.0,0.0
0.052558083,0.000589323,0.0,0.0,0.0
0.0,2.5560765e-05,0.0,0.0,0.0
0.0019677542,0.09328774,0.0,0.0,1.0
0.9609623,2.1434603e-08,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.00083048374,0.0,0.0,0.0
0.0,0.00041041907,0.0,0.0,0.0
0.0,0.00072379294,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0010056902,0.0,0.0,0.0
0.0,2.5560765e-05,0.0,0.0,0.0
0.96407264,2.1434603e-08,0.0,0.0,0.0
0.028818078,0.094475016,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0
0.05230418,0.0005892587,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0015868986,0.00011350695,0.0,0.0,0.0
0.0,0.008522098,0.0,0.0,0.0
0.0,0.0008354137,0.0,0.0,0.0
0.0,0.0004105048,0.0,0.0,0.0
0.0,0.00072302134,0.0,0.0,0.0
0.0,0.0009748351,0.0,0.0,0.0
0.0,0.0018493669,0.0,0.0,0.0
0.06036562,0.0005892587,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0.0,0.00072305347,0.0,0.0,0.0
0.0,0.0010056902,0.0,0.0,0.0
0.0,0.0018494098,0.0,0.0,0.0
0.0,0.0004104834,0.0,0.0,0.0
0.021899201,0.09421109,0.0,0.0,1.0
0.0,0.00097477075,0.0,0.0,0.0
0.0019042783,2.5560765e-05,0.0,0.0,0.0
0.0,0.0008115355,0.0,0.0,0.0
0.944649,2.1434603e-08,0.0,0.0,0.0
0.0,0.00011350695,0.0,0.0,0.0
0.0,0.008521508,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.044496637,0.0005892801,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0021135055,0.0,0.0,0.0
0.9522661,2.1434603e-08,0.0,0.0,0.0
0.0,0.0008504393,0.0,0.0,0.0
0.0025390377,0.0003865838,0.0,0.0,0.0
0.0,0.0009780396,0.0,0.0,0.0
0.0,0.0007269224,0.0,0.0,0.0
0.007934493,2.5571482e-05,0.0,0.0,0.0
0.0,0.008605458,0.0,0.0,0.0
0.0022851338,0.00011347479,0.0,0.0,0.0
0.0,0.0,0.0,0.000980368,0.0
0.0,0.00011342121,0.0,0.0,0.0
0.04957471,0.00058936584,0.0,0.0,0.0
