cpu_uses,memory_uses,Wi_fi_uses,disc_uses,Type
0.0,0.00026618928,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0.0,0.00231745,0.0,0.0,0.0
0.0,0.0020744351,0.0,0.0,0.0
0.96235937,3.174589e-07,0.0,0.0,0.0
0.0,0.00023571323,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.047212522,0.0326889,0.0,0.0,0.0
0.0,4.333314e-05,0.0,0.0,0.0
0.0,0.00071650476,0.0,0.0,0.0
0.0,0.012793435,0.0,0.0,0.0
0.0,0.003863951,0.0,0.0,0.0
0.0017462167,0.0073413956,0.0,0.0,0.0
0.0,0.9986235,0.0,0.0,0.0
0.0,0.071770154,0.0,0.0,0.0
0.0,0.043795045,0.0,0.0,0.0
0.0,7.317428e-05,0.0,0.0,0.0
0.0,0.04141886,0.0,0.0,0.0
0.0,7.317428e-05,0.0,0.0,0.0
0.0,4.333314e-05,0.0,0.0,0.0
0.0,0.071850315,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.00231745,0.0,0.0,0.0
0.0,0.007293777,0.0,0.0,0.0
0.0,0.041409183,0.0,0.0,0.0
0.0,0.99863756,0.0,0.0,0.0
0.0,0.00023571323,0.0,0.0,0.0
0.0,0.012793435,0.0,0.0,0.0
0.0,0.000716346,0.0,0.0,0.0
0.057948522,0.032699537,0.0,0.0,0.0
0.0,0.0020744351,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0.0,0.043754887,0.0,0.0,0.0
0.0,0.00026618928,0.0,0.0,0.0
0.97639376,3.174589e-07,0.0,0.0,0.0
0.0,0.003863951,0.0,0.0,0.0
0.9661105,3.174589e-07,0.0,0.0,0.0
0.0,0.000716346,0.0,0.0,0.0
0.0,0.00023571323,0.0,0.0,0.0
0.0,0.99898237,0.0,0.0,0.0
0.0018108913,0.0073415544,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0.0,0.07174825,0.0,0.0,0.0
0.0,0.00231745,0.0,0.0,0.0
0.0,0.00026618928,0.0,0.0,0.0
0.05393869,0.032697473,0.0,0.0,0.0
0.0,7.317428e-05,0.0,0.0,0.0
0.0,0.003863951,0.0,0.0,0.0
0.0,0.012793435,0.0,0.0,0.0
0.0,0.0020744351,0.0,0.0,0.0
0.0,0.04376822,0.0,0.0,0.0
0.0,0.041409183,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,4.333314e-05,0.0,0.0,0.0
0.0,0.07177841,0.0,0.0,0.0
0.0,0.00023571323,0.0,0.0,0.0
0.0,0.000716346,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.00026618928,0.0,0.0,0.0
0.048958737,0.032699537,0.0,0.0,0.0
0.0,0.0072952057,0.0,0.0,0.0
0.0,0.00231745,0.0,0.0,0.0
0.0,0.043719485,0.0,0.0,0.0
0.0,4.333314e-05,0.0,0.0,0.0
0.0,0.999207,0.0,0.0,0.0
0.0,0.003863951,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0.0,0.012793435,0.0,0.0,0.0
0.0,7.317428e-05,0.0,0.0,0.0
0.0,0.041409183,0.0,0.0,0.0
0.0,0.0018520553,0.0,0.0,0.0
1.0,3.174589e-07,0.0,0.0,0.0
0.0,7.317428e-05,0.0,0.0,0.0
0.0,0.0072952057,0.0,0.0,0.0
0.97949815,3.174589e-07,0.0,0.0,0.0
0.0,0.00026618928,0.0,0.0,0.0
0.0,0.0018520553,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.000716346,0.0,0.0,0.0
0.0,0.041409183,0.0,0.0,0.0
0.0,0.012793435,0.0,0.0,0.0
0.0,0.04373044,0.0,0.0,0.0
0.0,4.333314e-05,0.0,0.0,0.0
0.0,0.00023571323,0.0,0.0,0.0
0.0,0.0038661733,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0.0,0.00231745,0.0,0.0,0.0
0.0,0.0717019,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.047665242,0.03269906,0.0,0.0,0.0
